#,Kevin Ready?,Continent,Country,State/Province/Territory/etc.,Location,Region,Up Front Description,Hint # 1,Description at the end (100 words),Has Chez Edited Description,Wikipedia Link,Tourism Link,Climate,Pics Uploaded?,Who logged,Pictures,TB URL,Notes
1,,,,,,,,,,,,,,FALSE,,,,
1,TRUE,Africa,Botswana,,Botswana,Sub-Saharan Africa,It is a country,An incredible haven for wildlife set among some dynamic landscapes. ,"In a continent known for outstanding wilderness experiences, Botswana stands out among other African destinations as offering some of the best. Renowned for its political stability and commitment to conservation, the country offers you access to a variety of pristine ecosystems. The Okavango Delta, a UNESCO World Heritage Site, delivers world-class safari encounters with exceptional wildlife diversity. Chobe National Park boasts one of the largest elephant populations on Earth, while the Kalahari Desert presents stark beauty and unique cultural heritage. With a low-impact, high-value tourism model, Botswana ensures exclusivity and ecological integrity. For discerning travelers seeking adventure without compromise, Botswana offers an unspoiled, expertly preserved natural environment where wildlife thrives.",Yes,https://en.wikipedia.org/wiki/Botswana,https://www.botswanatourism.co.bw/,Semi-arid climate,TRUE,,No public photo library,,
2,TRUE,Africa,Egypt,,Cairo,North Africa,It is a city,An arid destination know for incredible history - and the structures that pay homage to their past leaders.,"Egypt's capital Cairo is a fabulous fusion of ancient wonder and modern energy, where the past lives side by side with a fast-paced present. Towering above the desert outskirts are the Great Pyramids of Giza and the Sphinx, awe-inspiring relics of one of the world’s oldest civilizations. Within the city, you’ll find the Egyptian Museum, housing treasures of pharaohs, and the lively Khan El Khalili bazaar, where the scent of spices and sound of traditional music fill the air. Along the Nile River, elegant feluccas (traditional wooden sailing boats with a single sail) float past high-rise hotels and minarets that echo with the call to prayer. Whether you’re exploring ancient tombs, sipping tea in a centuries-old café, or watching the sunset over the city from the Citadel, Cairo bursting with both history and heartbeat.",Yes,https://en.wikipedia.org/wiki/Cairo,https://www.experienceegypt.eg/en,Hot semi-arid climate,TRUE,,No public photo library,,
3,TRUE,Africa,Mauritius,,,Africa,It is a country,"This country is an island which is famous for the Dodo, a flightless bird that is now extinct","Powdery white beaches meet crystal-clear turquoise waters and verdant mountains in Mauritius. This Indian Ocean island offers vibrant coral reefs and world-class diving to cascading waterfalls and charming sugarcane fields. Explore the colorful capital of Port Louis, marvel at the Seven Colored Earths of Chamarel, or relax under swaying palm trees by the sea. With its warm hospitality, delicious Creole cuisine, and breathtaking scenery, Mauritius is a dreamy escape.",Yes,https://en.wikipedia.org/wiki/Mauritius,https://www.mymauritius.travel/,Tropical maritime,TRUE,,,,
4,TRUE,Africa,Morocco,,Marrakech,North Africa,It is a city,"Lose yourself in a maze of vibrant souks, spice-laden air, and centuries-old palaces in this magical Moroccan city at the foot of the Atlas Mountains","Marrakech is a vibrant tapestry of color, culture, and centuries-old tradition, nestled near the towering Atlas Mountains. Within the ochre walls of the medina, is a maze of souks, where artisans craft leather, metal, and textiles amid the scent of spices and mint tea. The main square, Jemaa el-Fnaa, is the heart of the city and pulses with life. There, snake charmers, storytellers, and sizzling street food blend into a nightly spectacle unlike any other. Beyond the bustle, peaceful havens like the Majorelle Garden and ornate riads (local, boutique hotels) offer a tranquil contrast. Marrakech captivates with its fusion of old-world magic and modern luxury, making it an unforgetable sensory journey.",Yes,https://en.wikipedia.org/wiki/Marrakesh,https://visitmarrakech.com/en/,Hot semi-arid climate,TRUE,,No public photo library,https://www.visitmorocco.com/en,
5,TRUE,Africa,Namibia,,,Africa,It is a country,It has both the oldest dessert and the largest underground lake in the world ,"A unique blend of both European and local cultures, Namibia is a land of breathtaking contrasts where towering sand dunes meet the wild Atlantic coast and rugged mountains cradle vast savannahs. Home to the otherworldly Namib Desert, the oldest desert in the world, and the iconic red dunes of Sossusvlei, it offers a landscape like no other on Earth. From the haunting beauty of the Skeleton Coast to the rich wildlife of Etosha National Park, Namibia is brimming with adventures, natural wonders and raw, untamed beauty. ",Yes,https://en.wikipedia.org/wiki/Namibia,https://visitnamibia.com.na/,Subtropical,TRUE,,,,
6,TRUE,Africa,Sierra Leone,,,Africa,It is a country,This country had a civil war from 1991 to 2002. Since that time is has worked to rebuild its infrastructure and foster peace and stability.,"A hidden treasure of West Africa, Sierra Leone is where golden beaches stretch along the Atlantic and rainforests brim with vibrant wildlife. Discover the bustling streets of Freetown, home to the historic Cotton Tree and rich cultural heritage, or relax on the pristine shores of Tokeh Beach. Explore breathtaking islands like Banana Island or journey inland to encounter scenic waterfalls and nature reserves. With its warm hospitality, fascinating history, and stunning natural beauty, Sierra Leone is a destination that's perfect for adventurous travelers.",Yes,https://en.wikipedia.org/wiki/Sierra_Leone,https://tourismsierraleone.com/,Tropical,TRUE,,,,
7,TRUE,Africa,South Africa,,Cape Town,Sub-Saharan Africa,It is a city,"This city sits at the meeting point of two oceans, watched over by a flat-topped mountain and known for its penguins, vineyards, and apartheid history.","Cape Town balances adventure with ease, as dramatic landscapes meet a laid-back spirit. Hike to the top of Table Mountain or take a scenic drive along Chapman’s Peak, then unwind with fresh seafood and a glass of fabulous local wine as the sun sets over the Atlantic.
There’s energy here, but it doesn’t overwhelm. Instead, it invites you to explore at your own rhythm—kayak with penguins in False Bay, wander through colorful Bo-Kaap, or browse vibrant weekend markets tucked between city and sea.
Adventure lives here, but so does stillness. Cape Town lets you have both.",Yes,https://en.wikipedia.org/wiki/Cape_Town,https://www.capetown.travel/,Mediterranean climate,TRUE,,,,
8,TRUE,Africa,South Africa,,,Africa,It is a country,"A dynamic nation filled with history (sometimes a troubled history), energetic cities, beautiful beaches, remarkable wines and incredible wildlife. ","The diversity of South Africa runs from modern cities and amenities, natural wonders and an incredibly rich cultural heritage. From iconic Table Mountain to the untamed beauty of Kruger National Park, South Africa offers adventures within breathtaking scenery. Experience world-class vineyards in the Cape Winelands, vibrant city life in Johannesburg, and the historical depths of Robben Island. Encounter the Big Five on a luxury safari or relax along the Garden Route’s pristine coastline. South Africa offers journeys of transformation across a varied array of optioins. For discerning travelers seeking authenticity, excitement, and unforgettable memories, South Africa delivers with power and purpose. ",Yes,https://en.wikipedia.org/wiki/South_Africa,https://www.southafrica.net/uk/en/,semi-arid climate,TRUE,,https://digitalassets.southafrica.net/search.pp,,
9,FALSE,Africa,Sychelles,,,Africa,It is a country,"An Indian Ocean paradise of granite boulders, turquoise waters, and rare giant tortoises, this island nation is a dream escape with French flair and tropical charm.","The Seychelles are a dazzling collection of 115 gorgeous islands scattered across the Indian Ocean, where granite boulders, powdery white sand, and turquoise lagoons create postcard-perfect scenes at every turn. Whether you're snorkeling with sea turtles in clear coral waters, hiking through lush jungles on Mahé, or lounging on the secluded beaches of La Digue, this island paradise feels like a secret kept by nature itself. Luxury resorts blend into the landscape, while Creole culture adds spice and rhythm to the serene setting. It’s the kind of place where time slows down, and every sunset feels like it was made just for you. More than just a destination, The Seychelles are a daydream brought to life.",Yes,https://en.wikipedia.org/wiki/Seychelles,https://tourism.gov.sc/,Tropical maritime,TRUE,Aviva,,,
10,FALSE,Asia,China,,,Asia,It is a country,"Home to ancient walls you can see from space (sort of), spicy street food, and pandas lounging in bamboo forests, this vast land bridges dynasties and digital revolutions.","A land of staggering contrasts and epic scale, China is where ancient wonders and futuristic skylines coexist in balanced harmony. You can walk the Great Wall, wander the Forbidden City, and then hop on a bullet train to a neon-lit metropolis like Shanghai or Shenzhen. From the misty peaks of Zhangjiajie to the spicy street food stalls of Chengdu, every corner of China offers a new flavor, view, or story. Its history spans millennia, but its energy is firmly focused on the future. Whether you seek timeless traditions or cutting-edge innovation, China is a neverending story as vast as its geography.",Yes,https://en.wikipedia.org/wiki/China,???? ,Tropical and subtropical to arid and temperate regions,TRUE,Aviva,,,
